pdf,page,image,has_図,has_表,図_count,表_count,markers
R1gakkaA_mondai.pdf,2,R1gakkaA_mondai_p02.png,True,True,1,2,3
R1gakkaA_mondai.pdf,3,R1gakkaA_mondai_p03.png,False,True,0,1,1
R1gakkaA_mondai.pdf,5,R1gakkaA_mondai_p05.png,False,True,0,2,2
R1gakkaA_mondai.pdf,8,R1gakkaA_mondai_p08.png,False,True,0,3,3
R1gakkaA_mondai.pdf,10,R1gakkaA_mondai_p10.png,False,True,0,1,1
R1gakkaA_mondai.pdf,11,R1gakkaA_mondai_p11.png,False,True,0,1,1
R1gakkaA_mondai.pdf,12,R1gakkaA_mondai_p12.png,False,True,0,4,4
R1gakkaA_mondai.pdf,17,R1gakkaA_mondai_p17.png,False,True,0,3,3
R1gakkaA_mondai.pdf,20,R1gakkaA_mondai_p20.png,True,False,1,0,1
R1gakkaB_mondai.pdf,2,R1gakkaB_mondai_p02.png,True,True,5,2,7
R1gakkaB_mondai.pdf,3,R1gakkaB_mondai_p03.png,True,False,5,0,5
R1gakkaB_mondai.pdf,5,R1gakkaB_mondai_p05.png,True,True,1,1,2
R1gakkaB_mondai.pdf,6,R1gakkaB_mondai_p06.png,False,True,0,1,1
R1gakkaB_mondai.pdf,7,R1gakkaB_mondai_p07.png,True,True,2,3,5
R1gakkaB_mondai.pdf,8,R1gakkaB_mondai_p08.png,True,True,1,1,2
R1gakkaB_mondai.pdf,9,R1gakkaB_mondai_p09.png,False,True,0,1,1
R1gakkaB_mondai.pdf,10,R1gakkaB_mondai_p10.png,True,False,1,0,1
R1gakkaB_mondai.pdf,12,R1gakkaB_mondai_p12.png,True,True,1,1,2
R1gakkaB_mondai.pdf,13,R1gakkaB_mondai_p13.png,True,True,1,2,3
R1gakkaB_mondai.pdf,14,R1gakkaB_mondai_p14.png,False,True,0,3,3
R2gakkaA_mondai.pdf,5,R2gakkaA_mondai_p05.png,False,True,0,3,3
R2gakkaA_mondai.pdf,7,R2gakkaA_mondai_p07.png,False,True,0,4,4
R2gakkaA_mondai.pdf,8,R2gakkaA_mondai_p08.png,False,True,0,5,5
R2gakkaA_mondai.pdf,10,R2gakkaA_mondai_p10.png,False,True,0,1,1
R2gakkaA_mondai.pdf,11,R2gakkaA_mondai_p11.png,False,True,0,1,1
R2gakkaA_mondai.pdf,12,R2gakkaA_mondai_p12.png,False,True,0,8,8
R2gakkaA_mondai.pdf,13,R2gakkaA_mondai_p13.png,False,True,0,1,1
R2gakkaA_mondai.pdf,15,R2gakkaA_mondai_p15.png,False,True,0,1,1
R2gakkaA_mondai.pdf,16,R2gakkaA_mondai_p16.png,True,False,1,0,1
R2gakkaA_mondai.pdf,17,R2gakkaA_mondai_p17.png,False,True,0,4,4
R2gakkaA_mondai.pdf,20,R2gakkaA_mondai_p20.png,False,True,0,1,1
R2gakkaA_mondai.pdf,22,R2gakkaA_mondai_p22.png,False,True,0,1,1
R2gakkaB_mondai.pdf,2,R2gakkaB_mondai_p02.png,True,False,1,0,1
R2gakkaB_mondai.pdf,3,R2gakkaB_mondai_p03.png,True,False,1,0,1
R2gakkaB_mondai.pdf,4,R2gakkaB_mondai_p04.png,True,True,1,1,2
R2gakkaB_mondai.pdf,5,R2gakkaB_mondai_p05.png,True,True,1,2,3
R2gakkaB_mondai.pdf,6,R2gakkaB_mondai_p06.png,True,True,2,8,10
R2gakkaB_mondai.pdf,7,R2gakkaB_mondai_p07.png,False,True,0,6,6
R2gakkaB_mondai.pdf,8,R2gakkaB_mondai_p08.png,False,True,0,2,2
R2gakkaB_mondai.pdf,9,R2gakkaB_mondai_p09.png,True,False,2,0,2
R2gakkaB_mondai.pdf,11,R2gakkaB_mondai_p11.png,True,True,1,2,3
R2gakkaB_mondai.pdf,12,R2gakkaB_mondai_p12.png,True,True,1,1,2
R2gakkaB_mondai.pdf,13,R2gakkaB_mondai_p13.png,False,True,0,2,2
R3gakkaA_mondai.pdf,3,R3gakkaA_mondai_p03.png,False,True,0,1,1
R3gakkaA_mondai.pdf,4,R3gakkaA_mondai_p04.png,True,True,4,2,6
