source,rank,page,score
112.png,1,R1gakkaB_mondai_p03.png,0.138742
112.png,2,R7gakkaB_mondai_p03.png,0.090242
112.png,3,R4gakkaB_mondai_p03.png,0.089371
112.png,4,R5gakkaB_mondai_p03.png,0.089153
112.png,5,R6gakkaB_mondai_p03.png,0.088009
112.png,6,R6gakkaA_mondai_p03.png,0.084482
112.png,7,R7gakkaA_mondai_p15.png,0.082427
112.png,8,R2gakkaB_mondai_p03.png,0.081575
112.png,9,R3gakkaB_mondai_p03.png,0.080752
112.png,10,R6gakkaA_mondai_p04.png,0.075242
112.png,11,R6gakkaA_mondai_p09.png,0.074035
112.png,12,R5gakkaB_mondai_p19.png,0.070616
112.png,13,R4gakkaB_mondai_p11.png,0.070318
112.png,14,R7gakkaA_mondai_p03.png,0.069790
112.png,15,R4gakkaA_mondai_p02.png,0.068592
112.png,16,R7gakkaA_mondai_p04.png,0.068335
112.png,17,R3gakkaB_mondai_p13.png,0.068098
112.png,18,R5gakkaB_mondai_p13.png,0.067903
112.png,19,R5gakkaB_mondai_p09.png,0.067728
112.png,20,R6gakkaA_mondai_p02.png,0.067633
113.png,1,R6gakkaA_mondai_p14.png,0.234155
113.png,2,R2gakkaB_mondai_p04.png,0.229788
113.png,3,R2gakkaA_mondai_p17.png,0.222449
113.png,4,R1gakkaB_mondai_p08.png,0.221480
113.png,5,R2gakkaA_mondai_p22.png,0.220317
113.png,6,R2gakkaA_mondai_p20.png,0.220281
113.png,7,R2gakkaA_mondai_p12.png,0.219899
113.png,8,R2gakkaB_mondai_p03.png,0.219542
113.png,9,R6gakkaA_mondai_p08.png,0.217817
113.png,10,R2gakkaB_mondai_p08.png,0.217135
113.png,11,R2gakkaA_mondai_p15.png,0.215772
113.png,12,R2gakkaA_mondai_p05.png,0.215555
113.png,13,R1gakkaA_mondai_p03.png,0.215423
113.png,14,R1gakkaB_mondai_p13.png,0.214290
113.png,15,R2gakkaA_mondai_p10.png,0.214091
113.png,16,R2gakkaB_mondai_p13.png,0.214013
113.png,17,R2gakkaA_mondai_p08.png,0.213893
113.png,18,R1gakkaA_mondai_p08.png,0.213893
113.png,19,R1gakkaB_mondai_p03.png,0.213133
113.png,20,R2gakkaB_mondai_p06.png,0.213111
114.png,1,R4gakkaB_mondai_p11.png,0.231979
114.png,2,R6gakkaB_mondai_p11.png,0.231979
114.png,3,R7gakkaB_mondai_p11.png,0.231979
114.png,4,R6gakkaA_mondai_p04.png,0.226223
114.png,5,R7gakkaA_mondai_p02.png,0.223577
114.png,6,R6gakkaA_mondai_p02.png,0.220574
114.png,7,R1gakkaB_mondai_p03.png,0.209110
114.png,8,R7gakkaA_mondai_p04.png,0.186291
114.png,9,R2gakkaB_mondai_p03.png,0.182438
114.png,10,R6gakkaA_mondai_p03.png,0.173235
114.png,11,R4gakkaB_mondai_p21.png,0.164573
114.png,12,R3gakkaB_mondai_p03.png,0.160993
114.png,13,R5gakkaB_mondai_p03.png,0.150290
114.png,14,R7gakkaB_mondai_p03.png,0.150169
114.png,15,R3gakkaB_mondai_p05.png,0.147654
114.png,16,R5gakkaB_mondai_p05.png,0.147654
114.png,17,R4gakkaB_mondai_p05.png,0.147654
114.png,18,R6gakkaA_mondai_p06.png,0.144453
114.png,19,R4gakkaB_mondai_p18.png,0.143489
114.png,20,R4gakkaB_mondai_p15.png,0.142672
115.png,1,R6gakkaA_mondai_p03.png,0.239339
115.png,2,R6gakkaA_mondai_p04.png,0.215708
115.png,3,R2gakkaB_mondai_p03.png,0.207373
115.png,4,R3gakkaB_mondai_p03.png,0.197666
115.png,5,R1gakkaB_mondai_p03.png,0.177435
115.png,6,R5gakkaB_mondai_p03.png,0.175180
115.png,7,R7gakkaB_mondai_p03.png,0.174891
115.png,8,R6gakkaA_mondai_p02.png,0.173412
115.png,9,R7gakkaA_mondai_p02.png,0.173105
115.png,10,R4gakkaB_mondai_p18.png,0.172768
115.png,11,R3gakkaB_mondai_p16.png,0.164361
115.png,12,R6gakkaB_mondai_p11.png,0.150956
115.png,13,R4gakkaB_mondai_p16.png,0.143046
115.png,14,R4gakkaB_mondai_p20.png,0.139739
115.png,15,R4gakkaB_mondai_p13.png,0.139481
115.png,16,R6gakkaB_mondai_p16.png,0.139102
115.png,17,R4gakkaB_mondai_p05.png,0.138119
115.png,18,R7gakkaB_mondai_p15.png,0.137889
115.png,19,R5gakkaB_mondai_p05.png,0.137804
115.png,20,R7gakkaA_mondai_p04.png,0.137194
116.png,1,R7gakkaA_mondai_p02.png,0.218780
116.png,2,R7gakkaA_mondai_p04.png,0.218247
116.png,3,R2gakkaB_mondai_p03.png,0.216380
116.png,4,R7gakkaB_mondai_p11.png,0.216178
116.png,5,R6gakkaB_mondai_p11.png,0.216178
116.png,6,R4gakkaB_mondai_p11.png,0.216178
116.png,7,R6gakkaA_mondai_p04.png,0.215909
116.png,8,R6gakkaA_mondai_p02.png,0.214940
116.png,9,R3gakkaB_mondai_p03.png,0.202220
116.png,10,R7gakkaB_mondai_p03.png,0.192377
116.png,11,R2gakkaB_mondai_p06.png,0.192107
116.png,12,R5gakkaB_mondai_p03.png,0.192094
116.png,13,R1gakkaB_mondai_p07.png,0.191756
116.png,14,R1gakkaB_mondai_p03.png,0.189303
116.png,15,R2gakkaA_mondai_p17.png,0.186922
116.png,16,R2gakkaB_mondai_p13.png,0.186869
116.png,17,R2gakkaA_mondai_p12.png,0.182392
